"N","min(Surface Flow)","q1(Surface Flow)","med(Surface Flow)","q3(Surface Flow)","max(Surface Flow)","avg(Surface Flow)","std(Surface Flow)","min(Velocity (0))","q1(Velocity (0))","med(Velocity (0))","q3(Velocity (0))","max(Velocity (0))","avg(Velocity (0))","std(Velocity (0))","min(Velocity (1))","q1(Velocity (1))","med(Velocity (1))","q3(Velocity (1))","max(Velocity (1))","avg(Velocity (1))","std(Velocity (1))","min(Velocity (2))","q1(Velocity (2))","med(Velocity (2))","q3(Velocity (2))","max(Velocity (2))","avg(Velocity (2))","std(Velocity (2))","min(Velocity (Magnitude))","q1(Velocity (Magnitude))","med(Velocity (Magnitude))","q3(Velocity (Magnitude))","max(Velocity (Magnitude))","avg(Velocity (Magnitude))","std(Velocity (Magnitude))","min(vtkOriginalPointIds)","q1(vtkOriginalPointIds)","med(vtkOriginalPointIds)","q3(vtkOriginalPointIds)","max(vtkOriginalPointIds)","avg(vtkOriginalPointIds)","std(vtkOriginalPointIds)","min(X)","q1(X)","med(X)","q3(X)","max(X)","avg(X)","std(X)","min(Y)","q1(Y)","med(Y)","q3(Y)","max(Y)","avg(Y)","std(Y)","min(Z)","q1(Z)","med(Z)","q3(Z)","max(Z)","avg(Z)","std(Z)","vtkValidPointMask","Time"
1,-107.265,-107.265,-107.265,-107.265,-107.265,-107.265,0,164.205,164.205,164.205,164.205,164.205,164.205,0,27.5168,27.5168,27.5168,27.5168,27.5168,27.5168,0,221.296,221.296,221.296,221.296,221.296,221.296,0,276.934,276.934,276.934,276.934,276.934,276.934,0,0,0,0,0,0,0,0,106.65,106.65,106.65,106.65,106.65,106.65,0,120.241,120.241,120.241,120.241,120.241,120.241,0,33.5151,33.5151,33.5151,33.5151,33.5151,33.5151,0,1,0
1,-111.67,-111.67,-111.67,-111.67,-111.67,-111.67,0,165.931,165.931,165.931,165.931,165.931,165.931,0,15.8527,15.8527,15.8527,15.8527,15.8527,15.8527,0,169.69,169.69,169.69,169.69,169.69,169.69,0,237.864,237.864,237.864,237.864,237.864,237.864,0,0,0,0,0,0,0,0,106.65,106.65,106.65,106.65,106.65,106.65,0,120.241,120.241,120.241,120.241,120.241,120.241,0,33.5151,33.5151,33.5151,33.5151,33.5151,33.5151,0,1,1
1,-174.123,-174.123,-174.123,-174.123,-174.123,-174.123,0,214.417,214.417,214.417,214.417,214.417,214.417,0,35.6807,35.6807,35.6807,35.6807,35.6807,35.6807,0,103.756,103.756,103.756,103.756,103.756,103.756,0,240.859,240.859,240.859,240.859,240.859,240.859,0,0,0,0,0,0,0,0,106.65,106.65,106.65,106.65,106.65,106.65,0,120.241,120.241,120.241,120.241,120.241,120.241,0,33.5151,33.5151,33.5151,33.5151,33.5151,33.5151,0,1,2
1,-223.151,-223.151,-223.151,-223.151,-223.151,-223.151,0,244.042,244.042,244.042,244.042,244.042,244.042,0,73.4162,73.4162,73.4162,73.4162,73.4162,73.4162,0,82.1563,82.1563,82.1563,82.1563,82.1563,82.1563,0,267.761,267.761,267.761,267.761,267.761,267.761,0,0,0,0,0,0,0,0,106.65,106.65,106.65,106.65,106.65,106.65,0,120.241,120.241,120.241,120.241,120.241,120.241,0,33.5151,33.5151,33.5151,33.5151,33.5151,33.5151,0,1,3
1,-264.834,-264.834,-264.834,-264.834,-264.834,-264.834,0,282.513,282.513,282.513,282.513,282.513,282.513,0,77.3015,77.3015,77.3015,77.3015,77.3015,77.3015,0,36.6001,36.6001,36.6001,36.6001,36.6001,36.6001,0,295.175,295.175,295.175,295.175,295.175,295.175,0,0,0,0,0,0,0,0,106.65,106.65,106.65,106.65,106.65,106.65,0,120.241,120.241,120.241,120.241,120.241,120.241,0,33.5151,33.5151,33.5151,33.5151,33.5151,33.5151,0,1,4
1,-124.081,-124.081,-124.081,-124.081,-124.081,-124.081,0,148.499,148.499,148.499,148.499,148.499,148.499,0,64.7226,64.7226,64.7226,64.7226,64.7226,64.7226,0,174.081,174.081,174.081,174.081,174.081,174.081,0,237.793,237.793,237.793,237.793,237.793,237.793,0,0,0,0,0,0,0,0,106.65,106.65,106.65,106.65,106.65,106.65,0,120.241,120.241,120.241,120.241,120.241,120.241,0,33.5151,33.5151,33.5151,33.5151,33.5151,33.5151,0,1,5
1,-202.287,-202.287,-202.287,-202.287,-202.287,-202.287,0,223.858,223.858,223.858,223.858,223.858,223.858,0,87.8164,87.8164,87.8164,87.8164,87.8164,87.8164,0,150.371,150.371,150.371,150.371,150.371,150.371,0,283.612,283.612,283.612,283.612,283.612,283.612,0,0,0,0,0,0,0,0,106.65,106.65,106.65,106.65,106.65,106.65,0,120.241,120.241,120.241,120.241,120.241,120.241,0,33.5151,33.5151,33.5151,33.5151,33.5151,33.5151,0,1,6
1,-203.938,-203.938,-203.938,-203.938,-203.938,-203.938,0,231.324,231.324,231.324,231.324,231.324,231.324,0,97.5916,97.5916,97.5916,97.5916,97.5916,97.5916,0,203.712,203.712,203.712,203.712,203.712,203.712,0,323.317,323.317,323.317,323.317,323.317,323.317,0,0,0,0,0,0,0,0,106.65,106.65,106.65,106.65,106.65,106.65,0,120.241,120.241,120.241,120.241,120.241,120.241,0,33.5151,33.5151,33.5151,33.5151,33.5151,33.5151,0,1,7
1,-117.506,-117.506,-117.506,-117.506,-117.506,-117.506,0,153.433,153.433,153.433,153.433,153.433,153.433,0,88.5864,88.5864,88.5864,88.5864,88.5864,88.5864,0,303.527,303.527,303.527,303.527,303.527,303.527,0,351.451,351.451,351.451,351.451,351.451,351.451,0,0,0,0,0,0,0,0,106.65,106.65,106.65,106.65,106.65,106.65,0,120.241,120.241,120.241,120.241,120.241,120.241,0,33.5151,33.5151,33.5151,33.5151,33.5151,33.5151,0,1,8
1,-69.4799,-69.4799,-69.4799,-69.4799,-69.4799,-69.4799,0,99.2734,99.2734,99.2734,99.2734,99.2734,99.2734,0,100.058,100.058,100.058,100.058,100.058,100.058,0,361.231,361.231,361.231,361.231,361.231,361.231,0,387.756,387.756,387.756,387.756,387.756,387.756,0,0,0,0,0,0,0,0,106.65,106.65,106.65,106.65,106.65,106.65,0,120.241,120.241,120.241,120.241,120.241,120.241,0,33.5151,33.5151,33.5151,33.5151,33.5151,33.5151,0,1,9
