"N","min(Surface Flow)","q1(Surface Flow)","med(Surface Flow)","q3(Surface Flow)","max(Surface Flow)","avg(Surface Flow)","std(Surface Flow)","min(Velocity (0))","q1(Velocity (0))","med(Velocity (0))","q3(Velocity (0))","max(Velocity (0))","avg(Velocity (0))","std(Velocity (0))","min(Velocity (1))","q1(Velocity (1))","med(Velocity (1))","q3(Velocity (1))","max(Velocity (1))","avg(Velocity (1))","std(Velocity (1))","min(Velocity (2))","q1(Velocity (2))","med(Velocity (2))","q3(Velocity (2))","max(Velocity (2))","avg(Velocity (2))","std(Velocity (2))","min(Velocity (Magnitude))","q1(Velocity (Magnitude))","med(Velocity (Magnitude))","q3(Velocity (Magnitude))","max(Velocity (Magnitude))","avg(Velocity (Magnitude))","std(Velocity (Magnitude))","min(vtkOriginalPointIds)","q1(vtkOriginalPointIds)","med(vtkOriginalPointIds)","q3(vtkOriginalPointIds)","max(vtkOriginalPointIds)","avg(vtkOriginalPointIds)","std(vtkOriginalPointIds)","min(X)","q1(X)","med(X)","q3(X)","max(X)","avg(X)","std(X)","min(Y)","q1(Y)","med(Y)","q3(Y)","max(Y)","avg(Y)","std(Y)","min(Z)","q1(Z)","med(Z)","q3(Z)","max(Z)","avg(Z)","std(Z)","vtkValidPointMask","Time"
1,-132.273,-132.273,-132.273,-132.273,-132.273,-132.273,0,164.092,164.092,164.092,164.092,164.092,164.092,0,50.3964,50.3964,50.3964,50.3964,50.3964,50.3964,0,155.119,155.119,155.119,155.119,155.119,155.119,0,231.36,231.36,231.36,231.36,231.36,231.36,0,0,0,0,0,0,0,0,106.506,106.506,106.506,106.506,106.506,106.506,0,120.199,120.199,120.199,120.199,120.199,120.199,0,33.6361,33.6361,33.6361,33.6361,33.6361,33.6361,0,1,0
1,-130.1,-130.1,-130.1,-130.1,-130.1,-130.1,0,156.733,156.733,156.733,156.733,156.733,156.733,0,37.419,37.419,37.419,37.419,37.419,37.419,0,112.582,112.582,112.582,112.582,112.582,112.582,0,196.571,196.571,196.571,196.571,196.571,196.571,0,0,0,0,0,0,0,0,106.506,106.506,106.506,106.506,106.506,106.506,0,120.199,120.199,120.199,120.199,120.199,120.199,0,33.6361,33.6361,33.6361,33.6361,33.6361,33.6361,0,1,1
1,-164.76,-164.76,-164.76,-164.76,-164.76,-164.76,0,189.693,189.693,189.693,189.693,189.693,189.693,0,25.064,25.064,25.064,25.064,25.064,25.064,0,68.1792,68.1792,68.1792,68.1792,68.1792,68.1792,0,203.126,203.126,203.126,203.126,203.126,203.126,0,0,0,0,0,0,0,0,106.506,106.506,106.506,106.506,106.506,106.506,0,120.199,120.199,120.199,120.199,120.199,120.199,0,33.6361,33.6361,33.6361,33.6361,33.6361,33.6361,0,1,2
1,-194.357,-194.357,-194.357,-194.357,-194.357,-194.357,0,218.183,218.183,218.183,218.183,218.183,218.183,0,15.1723,15.1723,15.1723,15.1723,15.1723,15.1723,0,32.8004,32.8004,32.8004,32.8004,32.8004,32.8004,0,221.156,221.156,221.156,221.156,221.156,221.156,0,0,0,0,0,0,0,0,106.506,106.506,106.506,106.506,106.506,106.506,0,120.199,120.199,120.199,120.199,120.199,120.199,0,33.6361,33.6361,33.6361,33.6361,33.6361,33.6361,0,1,3
1,-251.787,-251.787,-251.787,-251.787,-251.787,-251.787,0,266.759,266.759,266.759,266.759,266.759,266.759,0,-0.993768,-0.993768,-0.993768,-0.993768,-0.993768,-0.993768,0,-57.872,-57.872,-57.872,-57.872,-57.872,-57.872,0,272.966,272.966,272.966,272.966,272.966,272.966,0,0,0,0,0,0,0,0,106.506,106.506,106.506,106.506,106.506,106.506,0,120.199,120.199,120.199,120.199,120.199,120.199,0,33.6361,33.6361,33.6361,33.6361,33.6361,33.6361,0,1,4
1,-64.4805,-64.4805,-64.4805,-64.4805,-64.4805,-64.4805,0,95.5369,95.5369,95.5369,95.5369,95.5369,95.5369,0,-3.50466,-3.50466,-3.50466,-3.50466,-3.50466,-3.50466,0,90.2403,90.2403,90.2403,90.2403,90.2403,90.2403,0,131.464,131.464,131.464,131.464,131.464,131.464,0,0,0,0,0,0,0,0,106.506,106.506,106.506,106.506,106.506,106.506,0,120.199,120.199,120.199,120.199,120.199,120.199,0,33.6361,33.6361,33.6361,33.6361,33.6361,33.6361,0,1,5
1,-134.874,-134.874,-134.874,-134.874,-134.874,-134.874,0,160.331,160.331,160.331,160.331,160.331,160.331,0,21.5381,21.5381,21.5381,21.5381,21.5381,21.5381,0,78.0969,78.0969,78.0969,78.0969,78.0969,78.0969,0,179.636,179.636,179.636,179.636,179.636,179.636,0,0,0,0,0,0,0,0,106.506,106.506,106.506,106.506,106.506,106.506,0,120.199,120.199,120.199,120.199,120.199,120.199,0,33.6361,33.6361,33.6361,33.6361,33.6361,33.6361,0,1,6
1,-132.063,-132.063,-132.063,-132.063,-132.063,-132.063,0,168.816,168.816,168.816,168.816,168.816,168.816,0,31.8249,31.8249,31.8249,31.8249,31.8249,31.8249,0,143.136,143.136,143.136,143.136,143.136,143.136,0,223.606,223.606,223.606,223.606,223.606,223.606,0,0,0,0,0,0,0,0,106.506,106.506,106.506,106.506,106.506,106.506,0,120.199,120.199,120.199,120.199,120.199,120.199,0,33.6361,33.6361,33.6361,33.6361,33.6361,33.6361,0,1,7
1,-55.0774,-55.0774,-55.0774,-55.0774,-55.0774,-55.0774,0,106.309,106.309,106.309,106.309,106.309,106.309,0,28.2218,28.2218,28.2218,28.2218,28.2218,28.2218,0,231.553,231.553,231.553,231.553,231.553,231.553,0,256.349,256.349,256.349,256.349,256.349,256.349,0,0,0,0,0,0,0,0,106.506,106.506,106.506,106.506,106.506,106.506,0,120.199,120.199,120.199,120.199,120.199,120.199,0,33.6361,33.6361,33.6361,33.6361,33.6361,33.6361,0,1,8
1,-21.2731,-21.2731,-21.2731,-21.2731,-21.2731,-21.2731,0,69.2341,69.2341,69.2341,69.2341,69.2341,69.2341,0,53.6736,53.6736,53.6736,53.6736,53.6736,53.6736,0,278.017,278.017,278.017,278.017,278.017,278.017,0,291.493,291.493,291.493,291.493,291.493,291.493,0,0,0,0,0,0,0,0,106.506,106.506,106.506,106.506,106.506,106.506,0,120.199,120.199,120.199,120.199,120.199,120.199,0,33.6361,33.6361,33.6361,33.6361,33.6361,33.6361,0,1,9
1,-71.0105,-71.0105,-71.0105,-71.0105,-71.0105,-71.0105,0,101.342,101.342,101.342,101.342,101.342,101.342,0,105.522,105.522,105.522,105.522,105.522,105.522,0,272.959,272.959,272.959,272.959,272.959,272.959,0,309.696,309.696,309.696,309.696,309.696,309.696,0,0,0,0,0,0,0,0,106.506,106.506,106.506,106.506,106.506,106.506,0,120.199,120.199,120.199,120.199,120.199,120.199,0,33.6361,33.6361,33.6361,33.6361,33.6361,33.6361,0,1,10
1,-108.656,-108.656,-108.656,-108.656,-108.656,-108.656,0,132.722,132.722,132.722,132.722,132.722,132.722,0,122.442,122.442,122.442,122.442,122.442,122.442,0,259.27,259.27,259.27,259.27,259.27,259.27,0,315.956,315.956,315.956,315.956,315.956,315.956,0,0,0,0,0,0,0,0,106.506,106.506,106.506,106.506,106.506,106.506,0,120.199,120.199,120.199,120.199,120.199,120.199,0,33.6361,33.6361,33.6361,33.6361,33.6361,33.6361,0,1,11
1,-140.966,-140.966,-140.966,-140.966,-140.966,-140.966,0,168.442,168.442,168.442,168.442,168.442,168.442,0,89.6411,89.6411,89.6411,89.6411,89.6411,89.6411,0,201.347,201.347,201.347,201.347,201.347,201.347,0,277.397,277.397,277.397,277.397,277.397,277.397,0,0,0,0,0,0,0,0,106.506,106.506,106.506,106.506,106.506,106.506,0,120.199,120.199,120.199,120.199,120.199,120.199,0,33.6361,33.6361,33.6361,33.6361,33.6361,33.6361,0,1,12
1,-94.0336,-94.0336,-94.0336,-94.0336,-94.0336,-94.0336,0,129.236,129.236,129.236,129.236,129.236,129.236,0,69.1795,69.1795,69.1795,69.1795,69.1795,69.1795,0,219.159,219.159,219.159,219.159,219.159,219.159,0,263.663,263.663,263.663,263.663,263.663,263.663,0,0,0,0,0,0,0,0,106.506,106.506,106.506,106.506,106.506,106.506,0,120.199,120.199,120.199,120.199,120.199,120.199,0,33.6361,33.6361,33.6361,33.6361,33.6361,33.6361,0,1,13
1,-121.593,-121.593,-121.593,-121.593,-121.593,-121.593,0,147.115,147.115,147.115,147.115,147.115,147.115,0,100.128,100.128,100.128,100.128,100.128,100.128,0,220.553,220.553,220.553,220.553,220.553,220.553,0,283.394,283.394,283.394,283.394,283.394,283.394,0,0,0,0,0,0,0,0,106.506,106.506,106.506,106.506,106.506,106.506,0,120.199,120.199,120.199,120.199,120.199,120.199,0,33.6361,33.6361,33.6361,33.6361,33.6361,33.6361,0,1,14
1,-194.213,-194.213,-194.213,-194.213,-194.213,-194.213,0,204.343,204.343,204.343,204.343,204.343,204.343,0,135.351,135.351,135.351,135.351,135.351,135.351,0,185.184,185.184,185.184,185.184,185.184,185.184,0,307.195,307.195,307.195,307.195,307.195,307.195,0,0,0,0,0,0,0,0,106.506,106.506,106.506,106.506,106.506,106.506,0,120.199,120.199,120.199,120.199,120.199,120.199,0,33.6361,33.6361,33.6361,33.6361,33.6361,33.6361,0,1,15
1,-215.009,-215.009,-215.009,-215.009,-215.009,-215.009,0,218.013,218.013,218.013,218.013,218.013,218.013,0,143.001,143.001,143.001,143.001,143.001,143.001,0,159.786,159.786,159.786,159.786,159.786,159.786,0,305.795,305.795,305.795,305.795,305.795,305.795,0,0,0,0,0,0,0,0,106.506,106.506,106.506,106.506,106.506,106.506,0,120.199,120.199,120.199,120.199,120.199,120.199,0,33.6361,33.6361,33.6361,33.6361,33.6361,33.6361,0,1,16
1,-182.36,-182.36,-182.36,-182.36,-182.36,-182.36,0,191.334,191.334,191.334,191.334,191.334,191.334,0,123.528,123.528,123.528,123.528,123.528,123.528,0,165.532,165.532,165.532,165.532,165.532,165.532,0,281.547,281.547,281.547,281.547,281.547,281.547,0,0,0,0,0,0,0,0,106.506,106.506,106.506,106.506,106.506,106.506,0,120.199,120.199,120.199,120.199,120.199,120.199,0,33.6361,33.6361,33.6361,33.6361,33.6361,33.6361,0,1,17
1,-193.794,-193.794,-193.794,-193.794,-193.794,-193.794,0,210.047,210.047,210.047,210.047,210.047,210.047,0,96.9802,96.9802,96.9802,96.9802,96.9802,96.9802,0,143.864,143.864,143.864,143.864,143.864,143.864,0,272.437,272.437,272.437,272.437,272.437,272.437,0,0,0,0,0,0,0,0,106.506,106.506,106.506,106.506,106.506,106.506,0,120.199,120.199,120.199,120.199,120.199,120.199,0,33.6361,33.6361,33.6361,33.6361,33.6361,33.6361,0,1,18
1,-173.503,-173.503,-173.503,-173.503,-173.503,-173.503,0,200.714,200.714,200.714,200.714,200.714,200.714,0,72.4795,72.4795,72.4795,72.4795,72.4795,72.4795,0,155.447,155.447,155.447,155.447,155.447,155.447,0,264.014,264.014,264.014,264.014,264.014,264.014,0,0,0,0,0,0,0,0,106.506,106.506,106.506,106.506,106.506,106.506,0,120.199,120.199,120.199,120.199,120.199,120.199,0,33.6361,33.6361,33.6361,33.6361,33.6361,33.6361,0,1,19
