"N","min(Surface Flow)","q1(Surface Flow)","med(Surface Flow)","q3(Surface Flow)","max(Surface Flow)","avg(Surface Flow)","std(Surface Flow)","min(Velocity (0))","q1(Velocity (0))","med(Velocity (0))","q3(Velocity (0))","max(Velocity (0))","avg(Velocity (0))","std(Velocity (0))","min(Velocity (1))","q1(Velocity (1))","med(Velocity (1))","q3(Velocity (1))","max(Velocity (1))","avg(Velocity (1))","std(Velocity (1))","min(Velocity (2))","q1(Velocity (2))","med(Velocity (2))","q3(Velocity (2))","max(Velocity (2))","avg(Velocity (2))","std(Velocity (2))","min(Velocity (Magnitude))","q1(Velocity (Magnitude))","med(Velocity (Magnitude))","q3(Velocity (Magnitude))","max(Velocity (Magnitude))","avg(Velocity (Magnitude))","std(Velocity (Magnitude))","min(vtkOriginalPointIds)","q1(vtkOriginalPointIds)","med(vtkOriginalPointIds)","q3(vtkOriginalPointIds)","max(vtkOriginalPointIds)","avg(vtkOriginalPointIds)","std(vtkOriginalPointIds)","min(X)","q1(X)","med(X)","q3(X)","max(X)","avg(X)","std(X)","min(Y)","q1(Y)","med(Y)","q3(Y)","max(Y)","avg(Y)","std(Y)","min(Z)","q1(Z)","med(Z)","q3(Z)","max(Z)","avg(Z)","std(Z)","vtkValidPointMask","Time"
1,-116.119,-116.119,-116.119,-116.119,-116.119,-116.119,0,767.681,767.681,767.681,767.681,767.681,767.681,0,-613.32,-613.32,-613.32,-613.32,-613.32,-613.32,0,-225.417,-225.417,-225.417,-225.417,-225.417,-225.417,0,1008.12,1008.12,1008.12,1008.12,1008.12,1008.12,0,0,0,0,0,0,0,0,119.491,119.491,119.491,119.491,119.491,119.491,0,100.783,100.783,100.783,100.783,100.783,100.783,0,40.3993,40.3993,40.3993,40.3993,40.3993,40.3993,0,1,0
1,-79.3225,-79.3225,-79.3225,-79.3225,-79.3225,-79.3225,0,662.667,662.667,662.667,662.667,662.667,662.667,0,-562.552,-562.552,-562.552,-562.552,-562.552,-562.552,0,-159.986,-159.986,-159.986,-159.986,-159.986,-159.986,0,883.848,883.848,883.848,883.848,883.848,883.848,0,0,0,0,0,0,0,0,119.491,119.491,119.491,119.491,119.491,119.491,0,100.783,100.783,100.783,100.783,100.783,100.783,0,40.3993,40.3993,40.3993,40.3993,40.3993,40.3993,0,1,1
1,-82.9809,-82.9809,-82.9809,-82.9809,-82.9809,-82.9809,0,619.908,619.908,619.908,619.908,619.908,619.908,0,-513.027,-513.027,-513.027,-513.027,-513.027,-513.027,0,-156.017,-156.017,-156.017,-156.017,-156.017,-156.017,0,819.648,819.648,819.648,819.648,819.648,819.648,0,0,0,0,0,0,0,0,119.491,119.491,119.491,119.491,119.491,119.491,0,100.783,100.783,100.783,100.783,100.783,100.783,0,40.3993,40.3993,40.3993,40.3993,40.3993,40.3993,0,1,2
1,-88.7304,-88.7304,-88.7304,-88.7304,-88.7304,-88.7304,0,656.375,656.375,656.375,656.375,656.375,656.375,0,-535.04,-535.04,-535.04,-535.04,-535.04,-535.04,0,-248.318,-248.318,-248.318,-248.318,-248.318,-248.318,0,882.472,882.472,882.472,882.472,882.472,882.472,0,0,0,0,0,0,0,0,119.491,119.491,119.491,119.491,119.491,119.491,0,100.783,100.783,100.783,100.783,100.783,100.783,0,40.3993,40.3993,40.3993,40.3993,40.3993,40.3993,0,1,3
1,-69.3367,-69.3367,-69.3367,-69.3367,-69.3367,-69.3367,0,691.354,691.354,691.354,691.354,691.354,691.354,0,-591.699,-591.699,-591.699,-591.699,-591.699,-591.699,0,-342.782,-342.782,-342.782,-342.782,-342.782,-342.782,0,972.408,972.408,972.408,972.408,972.408,972.408,0,0,0,0,0,0,0,0,119.491,119.491,119.491,119.491,119.491,119.491,0,100.783,100.783,100.783,100.783,100.783,100.783,0,40.3993,40.3993,40.3993,40.3993,40.3993,40.3993,0,1,4
1,-69.323,-69.323,-69.323,-69.323,-69.323,-69.323,0,674.69,674.69,674.69,674.69,674.69,674.69,0,-574.852,-574.852,-574.852,-574.852,-574.852,-574.852,0,-336.778,-336.778,-336.778,-336.778,-336.778,-336.778,0,948.199,948.199,948.199,948.199,948.199,948.199,0,0,0,0,0,0,0,0,119.491,119.491,119.491,119.491,119.491,119.491,0,100.783,100.783,100.783,100.783,100.783,100.783,0,40.3993,40.3993,40.3993,40.3993,40.3993,40.3993,0,1,5
1,-108.783,-108.783,-108.783,-108.783,-108.783,-108.783,0,663.653,663.653,663.653,663.653,663.653,663.653,0,-509.923,-509.923,-509.923,-509.923,-509.923,-509.923,0,-292.736,-292.736,-292.736,-292.736,-292.736,-292.736,0,886.652,886.652,886.652,886.652,886.652,886.652,0,0,0,0,0,0,0,0,119.491,119.491,119.491,119.491,119.491,119.491,0,100.783,100.783,100.783,100.783,100.783,100.783,0,40.3993,40.3993,40.3993,40.3993,40.3993,40.3993,0,1,6
1,-153.007,-153.007,-153.007,-153.007,-153.007,-153.007,0,691.559,691.559,691.559,691.559,691.559,691.559,0,-475.68,-475.68,-475.68,-475.68,-475.68,-475.68,0,-284.845,-284.845,-284.845,-284.845,-284.845,-284.845,0,886.376,886.376,886.376,886.376,886.376,886.376,0,0,0,0,0,0,0,0,119.491,119.491,119.491,119.491,119.491,119.491,0,100.783,100.783,100.783,100.783,100.783,100.783,0,40.3993,40.3993,40.3993,40.3993,40.3993,40.3993,0,1,7
1,-172.905,-172.905,-172.905,-172.905,-172.905,-172.905,0,725.288,725.288,725.288,725.288,725.288,725.288,0,-480.929,-480.929,-480.929,-480.929,-480.929,-480.929,0,-298.284,-298.284,-298.284,-298.284,-298.284,-298.284,0,919.95,919.95,919.95,919.95,919.95,919.95,0,0,0,0,0,0,0,0,119.491,119.491,119.491,119.491,119.491,119.491,0,100.783,100.783,100.783,100.783,100.783,100.783,0,40.3993,40.3993,40.3993,40.3993,40.3993,40.3993,0,1,8
1,-172.924,-172.924,-172.924,-172.924,-172.924,-172.924,0,719.943,719.943,719.943,719.943,719.943,719.943,0,-476.545,-476.545,-476.545,-476.545,-476.545,-476.545,0,-283.671,-283.671,-283.671,-283.671,-283.671,-283.671,0,908.781,908.781,908.781,908.781,908.781,908.781,0,0,0,0,0,0,0,0,119.491,119.491,119.491,119.491,119.491,119.491,0,100.783,100.783,100.783,100.783,100.783,100.783,0,40.3993,40.3993,40.3993,40.3993,40.3993,40.3993,0,1,9
