"N","min(Surface Flow)","q1(Surface Flow)","med(Surface Flow)","q3(Surface Flow)","max(Surface Flow)","avg(Surface Flow)","std(Surface Flow)","min(Velocity (0))","q1(Velocity (0))","med(Velocity (0))","q3(Velocity (0))","max(Velocity (0))","avg(Velocity (0))","std(Velocity (0))","min(Velocity (1))","q1(Velocity (1))","med(Velocity (1))","q3(Velocity (1))","max(Velocity (1))","avg(Velocity (1))","std(Velocity (1))","min(Velocity (2))","q1(Velocity (2))","med(Velocity (2))","q3(Velocity (2))","max(Velocity (2))","avg(Velocity (2))","std(Velocity (2))","min(Velocity (Magnitude))","q1(Velocity (Magnitude))","med(Velocity (Magnitude))","q3(Velocity (Magnitude))","max(Velocity (Magnitude))","avg(Velocity (Magnitude))","std(Velocity (Magnitude))","min(vtkOriginalPointIds)","q1(vtkOriginalPointIds)","med(vtkOriginalPointIds)","q3(vtkOriginalPointIds)","max(vtkOriginalPointIds)","avg(vtkOriginalPointIds)","std(vtkOriginalPointIds)","min(X)","q1(X)","med(X)","q3(X)","max(X)","avg(X)","std(X)","min(Y)","q1(Y)","med(Y)","q3(Y)","max(Y)","avg(Y)","std(Y)","min(Z)","q1(Z)","med(Z)","q3(Z)","max(Z)","avg(Z)","std(Z)","vtkValidPointMask","Time"
1,-198.001,-198.001,-198.001,-198.001,-198.001,-198.001,0,748.316,748.316,748.316,748.316,748.316,748.316,0,-624.865,-624.865,-624.865,-624.865,-624.865,-624.865,0,-215.193,-215.193,-215.193,-215.193,-215.193,-215.193,0,998.369,998.369,998.369,998.369,998.369,998.369,0,0,0,0,0,0,0,0,119.525,119.525,119.525,119.525,119.525,119.525,0,100.647,100.647,100.647,100.647,100.647,100.647,0,40.2086,40.2086,40.2086,40.2086,40.2086,40.2086,0,1,0
1,-150.848,-150.848,-150.848,-150.848,-150.848,-150.848,0,630.523,630.523,630.523,630.523,630.523,630.523,0,-575.572,-575.572,-575.572,-575.572,-575.572,-575.572,0,-146.728,-146.728,-146.728,-146.728,-146.728,-146.728,0,866.239,866.239,866.239,866.239,866.239,866.239,0,0,0,0,0,0,0,0,119.525,119.525,119.525,119.525,119.525,119.525,0,100.647,100.647,100.647,100.647,100.647,100.647,0,40.2086,40.2086,40.2086,40.2086,40.2086,40.2086,0,1,1
1,-142.08,-142.08,-142.08,-142.08,-142.08,-142.08,0,589.052,589.052,589.052,589.052,589.052,589.052,0,-531.137,-531.137,-531.137,-531.137,-531.137,-531.137,0,-145.089,-145.089,-145.089,-145.089,-145.089,-145.089,0,806.313,806.313,806.313,806.313,806.313,806.313,0,0,0,0,0,0,0,0,119.525,119.525,119.525,119.525,119.525,119.525,0,100.647,100.647,100.647,100.647,100.647,100.647,0,40.2086,40.2086,40.2086,40.2086,40.2086,40.2086,0,1,2
1,-138.184,-138.184,-138.184,-138.184,-138.184,-138.184,0,644.414,644.414,644.414,644.414,644.414,644.414,0,-563.544,-563.544,-563.544,-563.544,-563.544,-563.544,0,-249.278,-249.278,-249.278,-249.278,-249.278,-249.278,0,891.623,891.623,891.623,891.623,891.623,891.623,0,0,0,0,0,0,0,0,119.525,119.525,119.525,119.525,119.525,119.525,0,100.647,100.647,100.647,100.647,100.647,100.647,0,40.2086,40.2086,40.2086,40.2086,40.2086,40.2086,0,1,3
1,-109.381,-109.381,-109.381,-109.381,-109.381,-109.381,0,693.374,693.374,693.374,693.374,693.374,693.374,0,-631.098,-631.098,-631.098,-631.098,-631.098,-631.098,0,-357.229,-357.229,-357.229,-357.229,-357.229,-357.229,0,1003.33,1003.33,1003.33,1003.33,1003.33,1003.33,0,0,0,0,0,0,0,0,119.525,119.525,119.525,119.525,119.525,119.525,0,100.647,100.647,100.647,100.647,100.647,100.647,0,40.2086,40.2086,40.2086,40.2086,40.2086,40.2086,0,1,4
1,-101.098,-101.098,-101.098,-101.098,-101.098,-101.098,0,667.742,667.742,667.742,667.742,667.742,667.742,0,-611.832,-611.832,-611.832,-611.832,-611.832,-611.832,0,-351.092,-351.092,-351.092,-351.092,-351.092,-351.092,0,971.331,971.331,971.331,971.331,971.331,971.331,0,0,0,0,0,0,0,0,119.525,119.525,119.525,119.525,119.525,119.525,0,100.647,100.647,100.647,100.647,100.647,100.647,0,40.2086,40.2086,40.2086,40.2086,40.2086,40.2086,0,1,5
1,-143.529,-143.529,-143.529,-143.529,-143.529,-143.529,0,649.993,649.993,649.993,649.993,649.993,649.993,0,-534.196,-534.196,-534.196,-534.196,-534.196,-534.196,0,-299.42,-299.42,-299.42,-299.42,-299.42,-299.42,0,893.034,893.034,893.034,893.034,893.034,893.034,0,0,0,0,0,0,0,0,119.525,119.525,119.525,119.525,119.525,119.525,0,100.647,100.647,100.647,100.647,100.647,100.647,0,40.2086,40.2086,40.2086,40.2086,40.2086,40.2086,0,1,6
1,-197.54,-197.54,-197.54,-197.54,-197.54,-197.54,0,685.167,685.167,685.167,685.167,685.167,685.167,0,-491.372,-491.372,-491.372,-491.372,-491.372,-491.372,0,-288.251,-288.251,-288.251,-288.251,-288.251,-288.251,0,891.061,891.061,891.061,891.061,891.061,891.061,0,0,0,0,0,0,0,0,119.525,119.525,119.525,119.525,119.525,119.525,0,100.647,100.647,100.647,100.647,100.647,100.647,0,40.2086,40.2086,40.2086,40.2086,40.2086,40.2086,0,1,7
1,-223.95,-223.95,-223.95,-223.95,-223.95,-223.95,0,725.028,725.028,725.028,725.028,725.028,725.028,0,-494.275,-494.275,-494.275,-494.275,-494.275,-494.275,0,-300.803,-300.803,-300.803,-300.803,-300.803,-300.803,0,927.608,927.608,927.608,927.608,927.608,927.608,0,0,0,0,0,0,0,0,119.525,119.525,119.525,119.525,119.525,119.525,0,100.647,100.647,100.647,100.647,100.647,100.647,0,40.2086,40.2086,40.2086,40.2086,40.2086,40.2086,0,1,8
1,-224.395,-224.395,-224.395,-224.395,-224.395,-224.395,0,713.644,713.644,713.644,713.644,713.644,713.644,0,-485.738,-485.738,-485.738,-485.738,-485.738,-485.738,0,-283.996,-283.996,-283.996,-283.996,-283.996,-283.996,0,908.781,908.781,908.781,908.781,908.781,908.781,0,0,0,0,0,0,0,0,119.525,119.525,119.525,119.525,119.525,119.525,0,100.647,100.647,100.647,100.647,100.647,100.647,0,40.2086,40.2086,40.2086,40.2086,40.2086,40.2086,0,1,9
