"N","min(Surface Flow)","q1(Surface Flow)","med(Surface Flow)","q3(Surface Flow)","max(Surface Flow)","avg(Surface Flow)","std(Surface Flow)","min(Velocity (0))","q1(Velocity (0))","med(Velocity (0))","q3(Velocity (0))","max(Velocity (0))","avg(Velocity (0))","std(Velocity (0))","min(Velocity (1))","q1(Velocity (1))","med(Velocity (1))","q3(Velocity (1))","max(Velocity (1))","avg(Velocity (1))","std(Velocity (1))","min(Velocity (2))","q1(Velocity (2))","med(Velocity (2))","q3(Velocity (2))","max(Velocity (2))","avg(Velocity (2))","std(Velocity (2))","min(Velocity (Magnitude))","q1(Velocity (Magnitude))","med(Velocity (Magnitude))","q3(Velocity (Magnitude))","max(Velocity (Magnitude))","avg(Velocity (Magnitude))","std(Velocity (Magnitude))","min(vtkOriginalPointIds)","q1(vtkOriginalPointIds)","med(vtkOriginalPointIds)","q3(vtkOriginalPointIds)","max(vtkOriginalPointIds)","avg(vtkOriginalPointIds)","std(vtkOriginalPointIds)","min(X)","q1(X)","med(X)","q3(X)","max(X)","avg(X)","std(X)","min(Y)","q1(Y)","med(Y)","q3(Y)","max(Y)","avg(Y)","std(Y)","min(Z)","q1(Z)","med(Z)","q3(Z)","max(Z)","avg(Z)","std(Z)","vtkValidPointMask","Time"
1,3909.29,3909.29,3909.29,3909.29,3909.29,3909.29,0,1014.59,1014.59,1014.59,1014.59,1014.59,1014.59,0,2801.53,2801.53,2801.53,2801.53,2801.53,2801.53,0,2885.3,2885.3,2885.3,2885.3,2885.3,2885.3,0,4147.64,4147.64,4147.64,4147.64,4147.64,4147.64,0,0,0,0,0,0,0,0,126.182,126.182,126.182,126.182,126.182,126.182,0,96.0225,96.0225,96.0225,96.0225,96.0225,96.0225,0,5.46359,5.46359,5.46359,5.46359,5.46359,5.46359,0,1,0
1,3705.23,3705.23,3705.23,3705.23,3705.23,3705.23,0,926.681,926.681,926.681,926.681,926.681,926.681,0,2678.65,2678.65,2678.65,2678.65,2678.65,2678.65,0,2713.75,2713.75,2713.75,2713.75,2713.75,2713.75,0,3924.07,3924.07,3924.07,3924.07,3924.07,3924.07,0,0,0,0,0,0,0,0,126.182,126.182,126.182,126.182,126.182,126.182,0,96.0225,96.0225,96.0225,96.0225,96.0225,96.0225,0,5.46359,5.46359,5.46359,5.46359,5.46359,5.46359,0,1,1
1,3439.83,3439.83,3439.83,3439.83,3439.83,3439.83,0,822.144,822.144,822.144,822.144,822.144,822.144,0,2545.09,2545.09,2545.09,2545.09,2545.09,2545.09,0,2471.53,2471.53,2471.53,2471.53,2471.53,2471.53,0,3641.68,3641.68,3641.68,3641.68,3641.68,3641.68,0,0,0,0,0,0,0,0,126.182,126.182,126.182,126.182,126.182,126.182,0,96.0225,96.0225,96.0225,96.0225,96.0225,96.0225,0,5.46359,5.46359,5.46359,5.46359,5.46359,5.46359,0,1,2
1,3098.86,3098.86,3098.86,3098.86,3098.86,3098.86,0,721.718,721.718,721.718,721.718,721.718,721.718,0,2438.69,2438.69,2438.69,2438.69,2438.69,2438.69,0,2113.79,2113.79,2113.79,2113.79,2113.79,2113.79,0,3306.99,3306.99,3306.99,3306.99,3306.99,3306.99,0,0,0,0,0,0,0,0,126.182,126.182,126.182,126.182,126.182,126.182,0,96.0225,96.0225,96.0225,96.0225,96.0225,96.0225,0,5.46359,5.46359,5.46359,5.46359,5.46359,5.46359,0,1,3
1,3117.57,3117.57,3117.57,3117.57,3117.57,3117.57,0,732.495,732.495,732.495,732.495,732.495,732.495,0,2382.71,2382.71,2382.71,2382.71,2382.71,2382.71,0,2180.95,2180.95,2180.95,2180.95,2180.95,2180.95,0,3312.16,3312.16,3312.16,3312.16,3312.16,3312.16,0,0,0,0,0,0,0,0,126.182,126.182,126.182,126.182,126.182,126.182,0,96.0225,96.0225,96.0225,96.0225,96.0225,96.0225,0,5.46359,5.46359,5.46359,5.46359,5.46359,5.46359,0,1,4
1,3085.17,3085.17,3085.17,3085.17,3085.17,3085.17,0,713.401,713.401,713.401,713.401,713.401,713.401,0,2358.18,2358.18,2358.18,2358.18,2358.18,2358.18,0,2157.07,2157.07,2157.07,2157.07,2157.07,2157.07,0,3274.58,3274.58,3274.58,3274.58,3274.58,3274.58,0,0,0,0,0,0,0,0,126.182,126.182,126.182,126.182,126.182,126.182,0,96.0225,96.0225,96.0225,96.0225,96.0225,96.0225,0,5.46359,5.46359,5.46359,5.46359,5.46359,5.46359,0,1,5
1,3091.95,3091.95,3091.95,3091.95,3091.95,3091.95,0,739.116,739.116,739.116,739.116,739.116,739.116,0,2358.25,2358.25,2358.25,2358.25,2358.25,2358.25,0,2167.89,2167.89,2167.89,2167.89,2167.89,2167.89,0,3287.46,3287.46,3287.46,3287.46,3287.46,3287.46,0,0,0,0,0,0,0,0,126.182,126.182,126.182,126.182,126.182,126.182,0,96.0225,96.0225,96.0225,96.0225,96.0225,96.0225,0,5.46359,5.46359,5.46359,5.46359,5.46359,5.46359,0,1,6
1,3127.9,3127.9,3127.9,3127.9,3127.9,3127.9,0,757.182,757.182,757.182,757.182,757.182,757.182,0,2375.31,2375.31,2375.31,2375.31,2375.31,2375.31,0,2201.84,2201.84,2201.84,2201.84,2201.84,2201.84,0,3326.19,3326.19,3326.19,3326.19,3326.19,3326.19,0,0,0,0,0,0,0,0,126.182,126.182,126.182,126.182,126.182,126.182,0,96.0225,96.0225,96.0225,96.0225,96.0225,96.0225,0,5.46359,5.46359,5.46359,5.46359,5.46359,5.46359,0,1,7
1,3105.14,3105.14,3105.14,3105.14,3105.14,3105.14,0,739.888,739.888,739.888,739.888,739.888,739.888,0,2382.87,2382.87,2382.87,2382.87,2382.87,2382.87,0,2165.84,2165.84,2165.84,2165.84,2165.84,2165.84,0,3303.99,3303.99,3303.99,3303.99,3303.99,3303.99,0,0,0,0,0,0,0,0,126.182,126.182,126.182,126.182,126.182,126.182,0,96.0225,96.0225,96.0225,96.0225,96.0225,96.0225,0,5.46359,5.46359,5.46359,5.46359,5.46359,5.46359,0,1,8
1,3050.85,3050.85,3050.85,3050.85,3050.85,3050.85,0,724.378,724.378,724.378,724.378,724.378,724.378,0,2361.86,2361.86,2361.86,2361.86,2361.86,2361.86,0,2112.01,2112.01,2112.01,2112.01,2112.01,2112.01,0,3250.19,3250.19,3250.19,3250.19,3250.19,3250.19,0,0,0,0,0,0,0,0,126.182,126.182,126.182,126.182,126.182,126.182,0,96.0225,96.0225,96.0225,96.0225,96.0225,96.0225,0,5.46359,5.46359,5.46359,5.46359,5.46359,5.46359,0,1,9
