"N","min(Surface Flow)","q1(Surface Flow)","med(Surface Flow)","q3(Surface Flow)","max(Surface Flow)","avg(Surface Flow)","std(Surface Flow)","min(Velocity (0))","q1(Velocity (0))","med(Velocity (0))","q3(Velocity (0))","max(Velocity (0))","avg(Velocity (0))","std(Velocity (0))","min(Velocity (1))","q1(Velocity (1))","med(Velocity (1))","q3(Velocity (1))","max(Velocity (1))","avg(Velocity (1))","std(Velocity (1))","min(Velocity (2))","q1(Velocity (2))","med(Velocity (2))","q3(Velocity (2))","max(Velocity (2))","avg(Velocity (2))","std(Velocity (2))","min(Velocity (Magnitude))","q1(Velocity (Magnitude))","med(Velocity (Magnitude))","q3(Velocity (Magnitude))","max(Velocity (Magnitude))","avg(Velocity (Magnitude))","std(Velocity (Magnitude))","min(vtkOriginalPointIds)","q1(vtkOriginalPointIds)","med(vtkOriginalPointIds)","q3(vtkOriginalPointIds)","max(vtkOriginalPointIds)","avg(vtkOriginalPointIds)","std(vtkOriginalPointIds)","min(X)","q1(X)","med(X)","q3(X)","max(X)","avg(X)","std(X)","min(Y)","q1(Y)","med(Y)","q3(Y)","max(Y)","avg(Y)","std(Y)","min(Z)","q1(Z)","med(Z)","q3(Z)","max(Z)","avg(Z)","std(Z)","vtkValidPointMask","Time"
1,3361.8,3361.8,3361.8,3361.8,3361.8,3361.8,0,1059.54,1059.54,1059.54,1059.54,1059.54,1059.54,0,2718.88,2718.88,2718.88,2718.88,2718.88,2718.88,0,2804.94,2804.94,2804.94,2804.94,2804.94,2804.94,0,4047.55,4047.55,4047.55,4047.55,4047.55,4047.55,0,0,0,0,0,0,0,0,126.326,126.326,126.326,126.326,126.326,126.326,0,95.9584,95.9584,95.9584,95.9584,95.9584,95.9584,0,4.87207,4.87207,4.87207,4.87207,4.87207,4.87207,0,1,0
1,3170.95,3170.95,3170.95,3170.95,3170.95,3170.95,0,971.834,971.834,971.834,971.834,971.834,971.834,0,2567.58,2567.58,2567.58,2567.58,2567.58,2567.58,0,2632.14,2632.14,2632.14,2632.14,2632.14,2632.14,0,3803.3,3803.3,3803.3,3803.3,3803.3,3803.3,0,0,0,0,0,0,0,0,126.326,126.326,126.326,126.326,126.326,126.326,0,95.9584,95.9584,95.9584,95.9584,95.9584,95.9584,0,4.87207,4.87207,4.87207,4.87207,4.87207,4.87207,0,1,1
1,2959.91,2959.91,2959.91,2959.91,2959.91,2959.91,0,867.906,867.906,867.906,867.906,867.906,867.906,0,2424.42,2424.42,2424.42,2424.42,2424.42,2424.42,0,2419.84,2419.84,2419.84,2419.84,2419.84,2419.84,0,3533.66,3533.66,3533.66,3533.66,3533.66,3533.66,0,0,0,0,0,0,0,0,126.326,126.326,126.326,126.326,126.326,126.326,0,95.9584,95.9584,95.9584,95.9584,95.9584,95.9584,0,4.87207,4.87207,4.87207,4.87207,4.87207,4.87207,0,1,2
1,2795.45,2795.45,2795.45,2795.45,2795.45,2795.45,0,778.273,778.273,778.273,778.273,778.273,778.273,0,2332.5,2332.5,2332.5,2332.5,2332.5,2332.5,0,2235.93,2235.93,2235.93,2235.93,2235.93,2235.93,0,3323.5,3323.5,3323.5,3323.5,3323.5,3323.5,0,0,0,0,0,0,0,0,126.326,126.326,126.326,126.326,126.326,126.326,0,95.9584,95.9584,95.9584,95.9584,95.9584,95.9584,0,4.87207,4.87207,4.87207,4.87207,4.87207,4.87207,0,1,3
1,2706.44,2706.44,2706.44,2706.44,2706.44,2706.44,0,709.553,709.553,709.553,709.553,709.553,709.553,0,2275.74,2275.74,2275.74,2275.74,2275.74,2275.74,0,2133.47,2133.47,2133.47,2133.47,2133.47,2133.47,0,3199.09,3199.09,3199.09,3199.09,3199.09,3199.09,0,0,0,0,0,0,0,0,126.326,126.326,126.326,126.326,126.326,126.326,0,95.9584,95.9584,95.9584,95.9584,95.9584,95.9584,0,4.87207,4.87207,4.87207,4.87207,4.87207,4.87207,0,1,4
1,2681.55,2681.55,2681.55,2681.55,2681.55,2681.55,0,686.929,686.929,686.929,686.929,686.929,686.929,0,2249.39,2249.39,2249.39,2249.39,2249.39,2249.39,0,2111.41,2111.41,2111.41,2111.41,2111.41,2111.41,0,3160.65,3160.65,3160.65,3160.65,3160.65,3160.65,0,0,0,0,0,0,0,0,126.326,126.326,126.326,126.326,126.326,126.326,0,95.9584,95.9584,95.9584,95.9584,95.9584,95.9584,0,4.87207,4.87207,4.87207,4.87207,4.87207,4.87207,0,1,5
1,2707.34,2707.34,2707.34,2707.34,2707.34,2707.34,0,699.909,699.909,699.909,699.909,699.909,699.909,0,2257.78,2257.78,2257.78,2257.78,2257.78,2257.78,0,2144.39,2144.39,2144.39,2144.39,2144.39,2144.39,0,3191.53,3191.53,3191.53,3191.53,3191.53,3191.53,0,0,0,0,0,0,0,0,126.326,126.326,126.326,126.326,126.326,126.326,0,95.9584,95.9584,95.9584,95.9584,95.9584,95.9584,0,4.87207,4.87207,4.87207,4.87207,4.87207,4.87207,0,1,6
1,2721.74,2721.74,2721.74,2721.74,2721.74,2721.74,0,702.384,702.384,702.384,702.384,702.384,702.384,0,2270.01,2270.01,2270.01,2270.01,2270.01,2270.01,0,2155.13,2155.13,2155.13,2155.13,2155.13,2155.13,0,3207.94,3207.94,3207.94,3207.94,3207.94,3207.94,0,0,0,0,0,0,0,0,126.326,126.326,126.326,126.326,126.326,126.326,0,95.9584,95.9584,95.9584,95.9584,95.9584,95.9584,0,4.87207,4.87207,4.87207,4.87207,4.87207,4.87207,0,1,7
1,2674.62,2674.62,2674.62,2674.62,2674.62,2674.62,0,680.21,680.21,680.21,680.21,680.21,680.21,0,2251.02,2251.02,2251.02,2251.02,2251.02,2251.02,0,2098.27,2098.27,2098.27,2098.27,2098.27,2098.27,0,3151.59,3151.59,3151.59,3151.59,3151.59,3151.59,0,0,0,0,0,0,0,0,126.326,126.326,126.326,126.326,126.326,126.326,0,95.9584,95.9584,95.9584,95.9584,95.9584,95.9584,0,4.87207,4.87207,4.87207,4.87207,4.87207,4.87207,0,1,8
1,2608,2608,2608,2608,2608,2608,0,666.065,666.065,666.065,666.065,666.065,666.065,0,2212.26,2212.26,2212.26,2212.26,2212.26,2212.26,0,2033.97,2033.97,2033.97,2033.97,2033.97,2033.97,0,3078.11,3078.11,3078.11,3078.11,3078.11,3078.11,0,0,0,0,0,0,0,0,126.326,126.326,126.326,126.326,126.326,126.326,0,95.9584,95.9584,95.9584,95.9584,95.9584,95.9584,0,4.87207,4.87207,4.87207,4.87207,4.87207,4.87207,0,1,9
