"N","min(Surface Flow)","q1(Surface Flow)","med(Surface Flow)","q3(Surface Flow)","max(Surface Flow)","avg(Surface Flow)","std(Surface Flow)","min(Velocity (0))","q1(Velocity (0))","med(Velocity (0))","q3(Velocity (0))","max(Velocity (0))","avg(Velocity (0))","std(Velocity (0))","min(Velocity (1))","q1(Velocity (1))","med(Velocity (1))","q3(Velocity (1))","max(Velocity (1))","avg(Velocity (1))","std(Velocity (1))","min(Velocity (2))","q1(Velocity (2))","med(Velocity (2))","q3(Velocity (2))","max(Velocity (2))","avg(Velocity (2))","std(Velocity (2))","min(Velocity (Magnitude))","q1(Velocity (Magnitude))","med(Velocity (Magnitude))","q3(Velocity (Magnitude))","max(Velocity (Magnitude))","avg(Velocity (Magnitude))","std(Velocity (Magnitude))","min(vtkOriginalPointIds)","q1(vtkOriginalPointIds)","med(vtkOriginalPointIds)","q3(vtkOriginalPointIds)","max(vtkOriginalPointIds)","avg(vtkOriginalPointIds)","std(vtkOriginalPointIds)","min(X)","q1(X)","med(X)","q3(X)","max(X)","avg(X)","std(X)","min(Y)","q1(Y)","med(Y)","q3(Y)","max(Y)","avg(Y)","std(Y)","min(Z)","q1(Z)","med(Z)","q3(Z)","max(Z)","avg(Z)","std(Z)","vtkValidPointMask","Time"
1,206.65,206.65,206.65,206.65,206.65,206.65,0,156.778,156.778,156.778,156.778,156.778,156.778,0,626.049,626.049,626.049,626.049,626.049,626.049,0,-104.206,-104.206,-104.206,-104.206,-104.206,-104.206,0,653.74,653.74,653.74,653.74,653.74,653.74,0,0,0,0,0,0,0,0,123.524,123.524,123.524,123.524,123.524,123.524,0,107.961,107.961,107.961,107.961,107.961,107.961,0,38.1895,38.1895,38.1895,38.1895,38.1895,38.1895,0,1,0
1,234.061,234.061,234.061,234.061,234.061,234.061,0,124.674,124.674,124.674,124.674,124.674,124.674,0,607.858,607.858,607.858,607.858,607.858,607.858,0,-158.506,-158.506,-158.506,-158.506,-158.506,-158.506,0,640.436,640.436,640.436,640.436,640.436,640.436,0,0,0,0,0,0,0,0,123.524,123.524,123.524,123.524,123.524,123.524,0,107.961,107.961,107.961,107.961,107.961,107.961,0,38.1895,38.1895,38.1895,38.1895,38.1895,38.1895,0,1,1
1,292.599,292.599,292.599,292.599,292.599,292.599,0,51.226,51.226,51.226,51.226,51.226,51.226,0,581.704,581.704,581.704,581.704,581.704,581.704,0,-215.221,-215.221,-215.221,-215.221,-215.221,-215.221,0,622.354,622.354,622.354,622.354,622.354,622.354,0,0,0,0,0,0,0,0,123.524,123.524,123.524,123.524,123.524,123.524,0,107.961,107.961,107.961,107.961,107.961,107.961,0,38.1895,38.1895,38.1895,38.1895,38.1895,38.1895,0,1,2
1,341.135,341.135,341.135,341.135,341.135,341.135,0,-4.94766,-4.94766,-4.94766,-4.94766,-4.94766,-4.94766,0,580.65,580.65,580.65,580.65,580.65,580.65,0,-225.52,-225.52,-225.52,-225.52,-225.52,-225.52,0,622.927,622.927,622.927,622.927,622.927,622.927,0,0,0,0,0,0,0,0,123.524,123.524,123.524,123.524,123.524,123.524,0,107.961,107.961,107.961,107.961,107.961,107.961,0,38.1895,38.1895,38.1895,38.1895,38.1895,38.1895,0,1,3
1,333.997,333.997,333.997,333.997,333.997,333.997,0,26.8258,26.8258,26.8258,26.8258,26.8258,26.8258,0,624.784,624.784,624.784,624.784,624.784,624.784,0,-208.913,-208.913,-208.913,-208.913,-208.913,-208.913,0,659.333,659.333,659.333,659.333,659.333,659.333,0,0,0,0,0,0,0,0,123.524,123.524,123.524,123.524,123.524,123.524,0,107.961,107.961,107.961,107.961,107.961,107.961,0,38.1895,38.1895,38.1895,38.1895,38.1895,38.1895,0,1,4
1,317.521,317.521,317.521,317.521,317.521,317.521,0,64.07,64.07,64.07,64.07,64.07,64.07,0,653.506,653.506,653.506,653.506,653.506,653.506,0,-209.846,-209.846,-209.846,-209.846,-209.846,-209.846,0,689.355,689.355,689.355,689.355,689.355,689.355,0,0,0,0,0,0,0,0,123.524,123.524,123.524,123.524,123.524,123.524,0,107.961,107.961,107.961,107.961,107.961,107.961,0,38.1895,38.1895,38.1895,38.1895,38.1895,38.1895,0,1,5
1,314.467,314.467,314.467,314.467,314.467,314.467,0,34.7583,34.7583,34.7583,34.7583,34.7583,34.7583,0,608.874,608.874,608.874,608.874,608.874,608.874,0,-182.452,-182.452,-182.452,-182.452,-182.452,-182.452,0,636.573,636.573,636.573,636.573,636.573,636.573,0,0,0,0,0,0,0,0,123.524,123.524,123.524,123.524,123.524,123.524,0,107.961,107.961,107.961,107.961,107.961,107.961,0,38.1895,38.1895,38.1895,38.1895,38.1895,38.1895,0,1,6
1,296.685,296.685,296.685,296.685,296.685,296.685,0,2.58522,2.58522,2.58522,2.58522,2.58522,2.58522,0,538.962,538.962,538.962,538.962,538.962,538.962,0,-131.467,-131.467,-131.467,-131.467,-131.467,-131.467,0,554.77,554.77,554.77,554.77,554.77,554.77,0,0,0,0,0,0,0,0,123.524,123.524,123.524,123.524,123.524,123.524,0,107.961,107.961,107.961,107.961,107.961,107.961,0,38.1895,38.1895,38.1895,38.1895,38.1895,38.1895,0,1,7
1,276.921,276.921,276.921,276.921,276.921,276.921,0,15.2747,15.2747,15.2747,15.2747,15.2747,15.2747,0,520.729,520.729,520.729,520.729,520.729,520.729,0,-132.704,-132.704,-132.704,-132.704,-132.704,-132.704,0,537.589,537.589,537.589,537.589,537.589,537.589,0,0,0,0,0,0,0,0,123.524,123.524,123.524,123.524,123.524,123.524,0,107.961,107.961,107.961,107.961,107.961,107.961,0,38.1895,38.1895,38.1895,38.1895,38.1895,38.1895,0,1,8
1,247.341,247.341,247.341,247.341,247.341,247.341,0,57.9776,57.9776,57.9776,57.9776,57.9776,57.9776,0,510.014,510.014,510.014,510.014,510.014,510.014,0,-198.698,-198.698,-198.698,-198.698,-198.698,-198.698,0,550.415,550.415,550.415,550.415,550.415,550.415,0,0,0,0,0,0,0,0,123.524,123.524,123.524,123.524,123.524,123.524,0,107.961,107.961,107.961,107.961,107.961,107.961,0,38.1895,38.1895,38.1895,38.1895,38.1895,38.1895,0,1,9
