"N","min(Surface Flow)","q1(Surface Flow)","med(Surface Flow)","q3(Surface Flow)","max(Surface Flow)","avg(Surface Flow)","std(Surface Flow)","min(Velocity (0))","q1(Velocity (0))","med(Velocity (0))","q3(Velocity (0))","max(Velocity (0))","avg(Velocity (0))","std(Velocity (0))","min(Velocity (1))","q1(Velocity (1))","med(Velocity (1))","q3(Velocity (1))","max(Velocity (1))","avg(Velocity (1))","std(Velocity (1))","min(Velocity (2))","q1(Velocity (2))","med(Velocity (2))","q3(Velocity (2))","max(Velocity (2))","avg(Velocity (2))","std(Velocity (2))","min(Velocity (Magnitude))","q1(Velocity (Magnitude))","med(Velocity (Magnitude))","q3(Velocity (Magnitude))","max(Velocity (Magnitude))","avg(Velocity (Magnitude))","std(Velocity (Magnitude))","min(vtkOriginalPointIds)","q1(vtkOriginalPointIds)","med(vtkOriginalPointIds)","q3(vtkOriginalPointIds)","max(vtkOriginalPointIds)","avg(vtkOriginalPointIds)","std(vtkOriginalPointIds)","min(X)","q1(X)","med(X)","q3(X)","max(X)","avg(X)","std(X)","min(Y)","q1(Y)","med(Y)","q3(Y)","max(Y)","avg(Y)","std(Y)","min(Z)","q1(Z)","med(Z)","q3(Z)","max(Z)","avg(Z)","std(Z)","vtkValidPointMask","Time"
1,-362.57,-362.57,-362.57,-362.57,-362.57,-362.57,0,705.369,705.369,705.369,705.369,705.369,705.369,0,535.975,535.975,535.975,535.975,535.975,535.975,0,-125.378,-125.378,-125.378,-125.378,-125.378,-125.378,0,894.725,894.725,894.725,894.725,894.725,894.725,0,0,0,0,0,0,0,0,120.918,120.918,120.918,120.918,120.918,120.918,0,122.129,122.129,122.129,122.129,122.129,122.129,0,43.578,43.578,43.578,43.578,43.578,43.578,0,1,0
1,-346.391,-346.391,-346.391,-346.391,-346.391,-346.391,0,693.306,693.306,693.306,693.306,693.306,693.306,0,547.163,547.163,547.163,547.163,547.163,547.163,0,-135.954,-135.954,-135.954,-135.954,-135.954,-135.954,0,893.613,893.613,893.613,893.613,893.613,893.613,0,0,0,0,0,0,0,0,120.918,120.918,120.918,120.918,120.918,120.918,0,122.129,122.129,122.129,122.129,122.129,122.129,0,43.578,43.578,43.578,43.578,43.578,43.578,0,1,1
1,-314.267,-314.267,-314.267,-314.267,-314.267,-314.267,0,666.435,666.435,666.435,666.435,666.435,666.435,0,565.746,565.746,565.746,565.746,565.746,565.746,0,-121.505,-121.505,-121.505,-121.505,-121.505,-121.505,0,882.591,882.591,882.591,882.591,882.591,882.591,0,0,0,0,0,0,0,0,120.918,120.918,120.918,120.918,120.918,120.918,0,122.129,122.129,122.129,122.129,122.129,122.129,0,43.578,43.578,43.578,43.578,43.578,43.578,0,1,2
1,-295.935,-295.935,-295.935,-295.935,-295.935,-295.935,0,659.826,659.826,659.826,659.826,659.826,659.826,0,592.623,592.623,592.623,592.623,592.623,592.623,0,-110.726,-110.726,-110.726,-110.726,-110.726,-110.726,0,893.775,893.775,893.775,893.775,893.775,893.775,0,0,0,0,0,0,0,0,120.918,120.918,120.918,120.918,120.918,120.918,0,122.129,122.129,122.129,122.129,122.129,122.129,0,43.578,43.578,43.578,43.578,43.578,43.578,0,1,3
1,-278.623,-278.623,-278.623,-278.623,-278.623,-278.623,0,647.984,647.984,647.984,647.984,647.984,647.984,0,607.228,607.228,607.228,607.228,607.228,607.228,0,-108.809,-108.809,-108.809,-108.809,-108.809,-108.809,0,894.678,894.678,894.678,894.678,894.678,894.678,0,0,0,0,0,0,0,0,120.918,120.918,120.918,120.918,120.918,120.918,0,122.129,122.129,122.129,122.129,122.129,122.129,0,43.578,43.578,43.578,43.578,43.578,43.578,0,1,4
1,-248.746,-248.746,-248.746,-248.746,-248.746,-248.746,0,614.737,614.737,614.737,614.737,614.737,614.737,0,608.813,608.813,608.813,608.813,608.813,608.813,0,-103.93,-103.93,-103.93,-103.93,-103.93,-103.93,0,871.411,871.411,871.411,871.411,871.411,871.411,0,0,0,0,0,0,0,0,120.918,120.918,120.918,120.918,120.918,120.918,0,122.129,122.129,122.129,122.129,122.129,122.129,0,43.578,43.578,43.578,43.578,43.578,43.578,0,1,5
1,-235.909,-235.909,-235.909,-235.909,-235.909,-235.909,0,600.523,600.523,600.523,600.523,600.523,600.523,0,609.734,609.734,609.734,609.734,609.734,609.734,0,-99.6796,-99.6796,-99.6796,-99.6796,-99.6796,-99.6796,0,861.591,861.591,861.591,861.591,861.591,861.591,0,0,0,0,0,0,0,0,120.918,120.918,120.918,120.918,120.918,120.918,0,122.129,122.129,122.129,122.129,122.129,122.129,0,43.578,43.578,43.578,43.578,43.578,43.578,0,1,6
1,-249.058,-249.058,-249.058,-249.058,-249.058,-249.058,0,613.701,613.701,613.701,613.701,613.701,613.701,0,605.973,605.973,605.973,605.973,605.973,605.973,0,-109.267,-109.267,-109.267,-109.267,-109.267,-109.267,0,869.352,869.352,869.352,869.352,869.352,869.352,0,0,0,0,0,0,0,0,120.918,120.918,120.918,120.918,120.918,120.918,0,122.129,122.129,122.129,122.129,122.129,122.129,0,43.578,43.578,43.578,43.578,43.578,43.578,0,1,7
1,-267.087,-267.087,-267.087,-267.087,-267.087,-267.087,0,623.122,623.122,623.122,623.122,623.122,623.122,0,584.839,584.839,584.839,584.839,584.839,584.839,0,-122.028,-122.028,-122.028,-122.028,-122.028,-122.028,0,863.255,863.255,863.255,863.255,863.255,863.255,0,0,0,0,0,0,0,0,120.918,120.918,120.918,120.918,120.918,120.918,0,122.129,122.129,122.129,122.129,122.129,122.129,0,43.578,43.578,43.578,43.578,43.578,43.578,0,1,8
1,-270.842,-270.842,-270.842,-270.842,-270.842,-270.842,0,613.809,613.809,613.809,613.809,613.809,613.809,0,559.675,559.675,559.675,559.675,559.675,559.675,0,-122.751,-122.751,-122.751,-122.751,-122.751,-122.751,0,839.682,839.682,839.682,839.682,839.682,839.682,0,0,0,0,0,0,0,0,120.918,120.918,120.918,120.918,120.918,120.918,0,122.129,122.129,122.129,122.129,122.129,122.129,0,43.578,43.578,43.578,43.578,43.578,43.578,0,1,9
